Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Field
25,Male,Bachelor's,Front End Developer,1,60000.0,Engineering
50,Male,PhD,Software Engineer,16,190000.0,Engineering
46,Male,PhD,Software Engineer,14,180000.0,Engineering
33,Male,Master's,Full Stack Engineer,6,130000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
41,Male,PhD,Senior Project Engineer,12,165000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
32,Male,Master's,Back End Developer,6,130000.0,Engineering
24,Male,Bachelor's,Front End Developer,1,60000.0,Engineering
44,Female,Master's,Software Engineer,11,170000.0,Engineering
36,Male,Master's,Software Engineer,7,140000.0,Engineering
28,Female,Master's,Full Stack Engineer,4,110000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
37,Male,Master's,Software Engineer,9,145000.0,Engineering
54,Male,PhD,Software Engineer,16,190000.0,Engineering
58,Male,PhD,Software Engineer,17,200000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
30,Male,Bachelor's,Back End Developer,4,95000.0,Engineering
27,Female,Master's,Full Stack Engineer,3,100000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
54,Male,PhD,Software Engineer,18,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
56,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Software Engineer,7,140000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
24,Female,Bachelor's,Back End Developer,1,60000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
24,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
28,Female,Bachelor's,Front End Developer,3,80000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
31,Male,Master's,Full Stack Engineer,7,140000.0,Engineering
43,Male,PhD,Software Engineer,13,180000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
30,Female,Master's,Back End Developer,6,130000.0,Engineering
28,Female,Master's,Full Stack Engineer,4,110000.0,Engineering
46,Male,PhD,Software Engineer,14,180000.0,Engineering
37,Male,Master's,Software Engineer,9,145000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
43,Male,PhD,Senior Project Engineer,12,165000.0,Engineering
31,Male,Master's,Software Engineer,7,140000.0,Engineering
56,Male,PhD,Software Engineer,17,195000.0,Engineering
37,Male,Master's,Software Engineer,10,155000.0,Engineering
54,Male,PhD,Software Engineer,16,190000.0,Engineering
58,Male,PhD,Software Engineer,17,195000.0,Engineering
33,Male,Master's,Back End Developer,6,130000.0,Engineering
29,Female,Bachelor's,Front End Developer,3,85000.0,Engineering
52,Male,PhD,Software Engineer,18,200000.0,Engineering
36,Male,Master's,Full Stack Engineer,8,140000.0,Engineering
26,Male,Bachelor's,Back End Developer,2,65000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
32,Male,Master's,Full Stack Engineer,6,120000.0,Engineering
29,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
28,Female,Master's,Back End Developer,3,90000.0,Engineering
54,Male,PhD,Software Engineer,16,190000.0,Engineering
57,Male,PhD,Software Engineer,18,200000.0,Engineering
51,Male,PhD,Software Engineer,16,190000.0,Engineering
28,Female,Master's,Full Stack Engineer,4,110000.0,Engineering
46,Male,PhD,Software Engineer,14,180000.0,Engineering
27,Female,Master's,Back End Developer,2,65000.0,Engineering
45,Male,PhD,Senior Project Engineer,14,185000.0,Engineering
23,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
36,Male,Master's,Full Stack Engineer,7,130000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
33,Female,Master's,Full Stack Engineer,5,120000.0,Engineering
38,Female,Master's,Back End Developer,10,155000.0,Engineering
51,Male,PhD,Software Engineer,16,190000.0,Engineering
27,Female,Master's,Full Stack Engineer,3,100000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
44,Female,Master's,Senior Project Engineer,12,170000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Full Stack Engineer,7,140000.0,Engineering
25,Male,Bachelor's,Front End Developer,1,55000.0,Engineering
50,Male,PhD,Software Engineer,16,190000.0,Engineering
46,Male,PhD,Software Engineer,14,180000.0,Engineering
33,Male,Master's,Full Stack Engineer,6,130000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
41,Male,PhD,Senior Project Engineer,12,165000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
32,Male,Master's,Back End Developer,6,130000.0,Engineering
24,Male,Bachelor's,Front End Developer,1,60000.0,Engineering
44,Female,Master's,Software Engineer,11,170000.0,Engineering
36,Male,Master's,Software Engineer,7,140000.0,Engineering
28,Female,Master's,Full Stack Engineer,4,110000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
37,Male,Master's,Software Engineer,9,145000.0,Engineering
54,Male,PhD,Software Engineer,16,190000.0,Engineering
58,Male,PhD,Software Engineer,17,200000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
30,Male,Bachelor's,Back End Developer,4,95000.0,Engineering
27,Female,Master's,Full Stack Engineer,3,100000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
54,Male,PhD,Software Engineer,18,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
56,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Software Engineer,7,140000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
24,Female,Bachelor's,Back End Developer,1,60000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
24,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
28,Female,Bachelor's,Front End Developer,3,80000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
31,Male,Master's,Full Stack Engineer,7,140000.0,Engineering
43,Male,PhD,Software Engineer,13,180000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
40,Male,PhD,Software Engineer,12,160000.0,Engineering
36,Male,Master's,Software Engineer,8,140000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
32,Male,Master's,Back End Developer,6,130000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,7,135000.0,Engineering
24,Male,Bachelor's,Back End Developer,1,55000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
56,Male,PhD,Software Engineer,17,195000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
31,Male,Master's,Senior Project Engineer,7,135000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
34,Male,Bachelor's,Front End Developer,5,95000.0,Engineering
43,Female,Master's,Software Engineer,12,170000.0,Engineering
27,Male,Bachelor's,Back End Developer,2,75000.0,Engineering
56,Female,PhD,Software Engineer,18,210000.0,Engineering
32,Male,Master's,Full Stack Engineer,7,135000.0,Engineering
40,Male,PhD,Software Engineer,12,160000.0,Engineering
23,Male,Bachelor's,Front End Developer,1,55000.0,Engineering
46,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
41,Female,PhD,Senior Project Engineer,11,165000.0,Engineering
28,Female,Bachelor's,Front End Developer,3,80000.0,Engineering
34,Male,Bachelor's,Back End Developer,6,120000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
54,Male,PhD,Software Engineer,16,190000.0,Engineering
36,Male,Master's,Software Engineer,8,140000.0,Engineering
33,Male,Master's,Full Stack Engineer,6,130000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Software Engineer,7,140000.0,Engineering
32,Male,Master's,Back End Developer,6,130000.0,Engineering
38,Female,Master's,Back End Developer,10,155000.0,Engineering
51,Male,PhD,Software Engineer,16,190000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
27,Female,Master's,Full Stack Engineer,3,100000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Senior Project Engineer,7,135000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
24,Male,Bachelor's,Front End Developer,1,55000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
24,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
28,Female,Bachelor's,Front End Developer,3,80000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
31,Male,Master's,Full Stack Engineer,7,140000.0,Engineering
43,Male,PhD,Software Engineer,13,180000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
40,Male,PhD,Software Engineer,12,160000.0,Engineering
36,Male,Master's,Software Engineer,8,140000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
32,Male,Master's,Back End Developer,6,130000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,7,135000.0,Engineering
24,Male,Bachelor's,Back End Developer,1,55000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
56,Male,PhD,Software Engineer,17,195000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
31,Male,Master's,Full Stack Engineer,7,140000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
36,Male,Master's,Software Engineer,8,140000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Senior Project Engineer,7,135000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
24,Male,Bachelor's,Front End Developer,1,55000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
27,Female,Master's,Full Stack Engineer,3,100000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
40,Male,PhD,Software Engineer,12,160000.0,Engineering
36,Male,Master's,Software Engineer,8,140000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
32,Male,Master's,Back End Developer,6,130000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,7,135000.0,Engineering
24,Male,Bachelor's,Back End Developer,1,55000.0,Engineering
48,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
27,Female,Master's,Back End Developer,2,70000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
44,Male,Master's,Senior Project Engineer,11,170000.0,Engineering
37,Male,Master's,Software Engineer,9,150000.0,Engineering
56,Male,PhD,Software Engineer,17,195000.0,Engineering
28,Male,Bachelor's,Front End Developer,2,70000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
31,Male,Master's,Senior Project Engineer,6,125000.0,Engineering
49,Male,PhD,Software Engineer,15,185000.0,Engineering
54,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Front End Developer,3,80000.0,Engineering
42,Male,PhD,Software Engineer,14,170000.0,Engineering
38,Male,Master's,Software Engineer,10,155000.0,Engineering
36,Male,Bachelor's,Front End Developer,7,120000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
41,Female,PhD,Software Engineer,14,180000.0,Engineering
33,Male,Bachelor's,Full Stack Engineer,7,130000.0,Engineering
42,Male,PhD,Software Engineer,12,170000.0,Engineering
28,Male,Bachelor's,Back End Developer,2,70000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
26,Female,Master's,Front End Developer,1,55000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Female,PhD,Software Engineer,11,165000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
39,Female,Master's,Software Engineer,11,160000.0,Engineering
32,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
50,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Back End Developer,3,85000.0,Engineering
46,Male,PhD,Senior Project Engineer,14,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
35,Male,Bachelor's,Back End Developer,8,140000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
35,Male,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
41,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
33,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
26,Female,Master's,Front End Developer,1,55000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Female,PhD,Software Engineer,11,165000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
39,Female,Master's,Software Engineer,11,160000.0,Engineering
32,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
50,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Back End Developer,3,85000.0,Engineering
46,Male,PhD,Senior Project Engineer,14,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
35,Male,Bachelor's,Back End Developer,8,140000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
35,Male,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
41,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
33,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
26,Female,Master's,Front End Developer,1,55000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Female,PhD,Software Engineer,11,165000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
39,Female,Master's,Software Engineer,11,160000.0,Engineering
32,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
50,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Back End Developer,3,85000.0,Engineering
46,Male,PhD,Senior Project Engineer,14,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
35,Male,Bachelor's,Back End Developer,8,140000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
35,Male,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
41,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
33,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
26,Female,Master's,Front End Developer,1,55000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Female,PhD,Software Engineer,11,165000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
39,Female,Master's,Software Engineer,11,160000.0,Engineering
32,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
50,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Back End Developer,3,85000.0,Engineering
46,Male,PhD,Senior Project Engineer,14,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
35,Male,Bachelor's,Back End Developer,8,140000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
35,Male,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
41,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
33,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
26,Female,Master's,Front End Developer,1,55000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Female,PhD,Software Engineer,11,165000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
39,Female,Master's,Software Engineer,11,160000.0,Engineering
32,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
50,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Back End Developer,3,85000.0,Engineering
46,Male,PhD,Senior Project Engineer,14,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
35,Male,Bachelor's,Back End Developer,8,140000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
35,Male,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
41,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
33,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
26,Female,Master's,Front End Developer,1,55000.0,Engineering
47,Male,PhD,Senior Project Engineer,16,190000.0,Engineering
44,Female,PhD,Software Engineer,11,165000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
39,Female,Master's,Software Engineer,11,160000.0,Engineering
32,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
50,Male,PhD,Software Engineer,17,195000.0,Engineering
27,Male,Bachelor's,Back End Developer,3,85000.0,Engineering
46,Male,PhD,Senior Project Engineer,14,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
43,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
35,Male,Bachelor's,Back End Developer,8,140000.0,Engineering
29,Female,Master's,Back End Developer,3,90000.0,Engineering
40,Female,PhD,Software Engineer,12,160000.0,Engineering
35,Male,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
41,Male,PhD,Senior Project Engineer,13,185000.0,Engineering
30,Male,Master's,Full Stack Engineer,5,105000.0,Engineering
33,Male,Bachelor's,Front End Developer,6,110000.0,Engineering
55,Male,PhD,Software Engineer,18,210000.0,Engineering
31,Male,Bachelor's,Front End Developer,6,115000.0,Engineering
42,Female,Master's,Software Engineer,13,170000.0,Engineering
27,Female,Bachelor's,Back End Developer,3,80000.0,Engineering
51,Male,PhD,Senior Project Engineer,19,200000.0,Engineering
34,Female,Master's,Full Stack Engineer,7,130000.0,Engineering
38,Male,Bachelor's,Software Engineer,11,155000.0,Engineering
29,Male,Bachelor's,Front End Developer,5,105000.0,Engineering
43,Female,PhD,Senior Project Engineer,14,190000.0,Engineering
36,Male,Master's,Back End Developer,8,140000.0,Engineering
48,Male,PhD,Software Engineer,16,185000.0,Engineering
35,Female,Bachelor's,Full Stack Engineer,8,145000.0,Engineering
30,Female,Master's,Front End Developer,4,90000.0,Engineering
50,Male,PhD,Senior Project Engineer,18,195000.0,Engineering
29,Male,Bachelor's,Back End Developer,4,95000.0,Engineering
41,Male,Master's,Software Engineer,13,170000.0,Engineering
33,Female,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
45,Male,PhD,Senior Project Engineer,16,185000.0,Engineering
28,Female,Bachelor's,Front End Developer,2,65000.0,Engineering
39,Female,Master's,Software Engineer,12,160000.0,Engineering
30,Male,Bachelor's,Back End Developer,5,100000.0,Engineering
46,Male,PhD,Senior Project Engineer,15,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
42,Male,PhD,Software Engineer,14,190000.0,Engineering
31,Male,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
49,Female,PhD,Senior Project Engineer,17,195000.0,Engineering
36,Male,Master's,Back End Developer,9,150000.0,Engineering
33,Female,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
45,Male,PhD,Software Engineer,16,185000.0,Engineering
28,Female,Bachelor's,Front End Developer,2,65000.0,Engineering
39,Female,Master's,Software Engineer,12,160000.0,Engineering
30,Male,Bachelor's,Back End Developer,5,100000.0,Engineering
46,Male,PhD,Senior Project Engineer,15,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
42,Male,PhD,Software Engineer,14,190000.0,Engineering
31,Male,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
49,Female,PhD,Senior Project Engineer,17,195000.0,Engineering
36,Male,Master's,Back End Developer,9,150000.0,Engineering
33,Female,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
45,Male,PhD,Software Engineer,16,185000.0,Engineering
28,Female,Bachelor's,Front End Developer,2,65000.0,Engineering
39,Female,Master's,Software Engineer,12,160000.0,Engineering
30,Male,Bachelor's,Back End Developer,5,100000.0,Engineering
46,Male,PhD,Senior Project Engineer,15,180000.0,Engineering
25,Female,Bachelor's,Front End Developer,1,55000.0,Engineering
42,Male,PhD,Software Engineer,14,190000.0,Engineering
31,Male,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
49,Female,PhD,Senior Project Engineer,17,195000.0,Engineering
36,Male,Master's,Back End Developer,9,150000.0,Engineering
33,Female,Bachelor's,Full Stack Engineer,6,115000.0,Engineering
45,Male,PhD,Software Engineer,16,185000.0,Engineering
28,Female,Bachelor's,Front End Developer,2,65000.0,Engineering
39,Female,Master's,Software Engineer,12,160000.0,Engineering
30,Male,Bachelor's,Back End Developer,5,100000.0,Engineering
46,Male,PhD,Senior Project Engineer,15,180000.0,Engineering
